gid,cname,planting,harvest,wsgd,gwad
90,Mkinga,2021-10-10,2022-02-13,0,4158
90,Mkinga,2023-02-04,2023-06-13,0,3312
90,Mkinga,2023-02-07,2023-06-19,0.44,3372
90,Mkinga,2023-02-11,2023-06-24,0.445,3654
90,Mkinga,2023-02-04,2023-06-15,0,3391
90,Mkinga,2023-02-24,2023-06-29,0.274,2763
90,Mkinga,2023-02-10,2023-06-21,0.536,3369
4,Lake Eyasi,2021-10-06,2022-02-08,0,3960
4,Lake Eyasi,2021-10-12,2022-02-16,0,4158
4,Lake Eyasi,2021-10-12,2022-02-16,0,4158
4,Lake Eyasi,2021-10-11,2022-02-15,0,4158
4,Lake Eyasi,2021-10-16,2022-02-21,0,4064
4,Lake Eyasi,2021-10-12,2022-02-16,0,4158
4,Lake Eyasi,2021-11-01,2022-03-06,0,3281
4,Lake Eyasi,2021-10-31,2022-03-06,0,3385
4,Lake Eyasi,2021-10-17,2022-02-20,0,3962
4,Lake Eyasi,2021-10-10,2022-02-13,0,4158
4,Lake Eyasi,2021-11-01,2022-03-06,0,3307
4,Lake Eyasi,2021-11-02,2022-03-06,0,3144
4,Lake Eyasi,2021-10-12,2022-02-16,0,4158
4,Lake Eyasi,2021-10-11,2022-02-15,0,4158
4,Lake Eyasi,2021-10-14,2022-02-19,0,4163
4,Lake Eyasi,2021-10-08,2022-02-11,0,4059
6,Longido,2022-10-18,2023-02-22,0,3076
6,Longido,2022-10-16,2023-02-20,0,3086
6,Longido,2022-10-24,2023-02-26,0,3099
6,Longido,2022-02-11,2022-07-01,0.426,3809
6,Longido,2022-02-27,2022-07-01,0.224,2015
6,Longido,2022-02-05,2022-07-01,0,4752
7,Meru,2023-02-08,2023-06-20,0.742,3046
7,Meru,2023-02-12,2023-06-25,0.796,2881
7,Meru,2023-02-09,2023-06-23,0.765,2997
7,Meru,2022-10-18,2023-02-21,0,3051
7,Meru,2022-10-13,2023-02-17,0,3246
7,Meru,2022-10-16,2023-02-20,0,3047
7,Meru,2022-02-23,2022-07-01,0.416,1914
7,Meru,2022-02-14,2022-07-01,0.403,3458
7,Meru,2022-02-02,2022-07-01,0.084,4650
7,Meru,2021-10-07,2022-02-10,0,3960
7,Meru,2021-10-25,2022-03-03,0,3940
7,Meru,2021-10-07,2022-02-10,0,3960
8,Monduli,2022-10-28,2023-03-05,0,3397
8,Monduli,2022-10-25,2023-02-28,0,3229
8,Monduli,2022-10-25,2023-02-27,0,3157
8,Monduli,2022-02-11,2022-07-01,0,4189
8,Monduli,2022-02-27,2022-07-01,0.428,2005
8,Monduli,2022-02-18,2022-07-01,0,3564
8,Monduli,2021-10-22,2022-02-27,0,3927
8,Monduli,2021-10-27,2022-03-06,0,3703
8,Monduli,2021-10-26,2022-03-04,0,3855
8,Monduli,2023-02-13,2023-06-25,0.186,3653
8,Monduli,2023-02-03,2023-06-18,0,3674
8,Monduli,2023-02-23,2023-06-29,0.221,3021
8,Monduli,2022-10-24,2023-02-26,0,3121
8,Monduli,2022-11-01,2023-03-06,0,3199
8,Monduli,2022-10-06,2023-02-09,0,3000
9,Ngorongoro,2023-02-13,2023-06-29,0.591,3415
