Region,harvest,planting,wsgd,gwad
Bahi,06/03/2022,04/11/2021,0,2897
Bahi,23/02/2022,19/10/2021,0,3978
Bahi,23/02/2022,19/10/2021,0,3975
Bahi,06/03/2022,04/11/2021,0,2899
Bahi,18/02/2022,13/10/2021,0,4251
Bahi,11/02/2022,08/10/2021,0,4059
Bahi,06/03/2022,04/11/2021,0,2903
Bahi,13/02/2022,10/10/2021,0,4158
Bahi,13/02/2022,10/10/2021,0,4158
Bahi,23/02/2022,19/10/2021,0,4017
Bahi,06/03/2022,28/10/2021,0,3630
Bahi,24/02/2022,20/10/2021,0,3951
Bahi,06/03/2022,02/11/2021,0,3154
Bahi,06/03/2022,02/11/2021,0,3142
Bahi,06/03/2022,01/11/2021,0,3297
Bahi,06/03/2022,28/10/2021,0,3609
Bahi,04/03/2022,26/10/2021,0,3879
Bahi,06/03/2022,01/11/2021,0,3300
Bahi,08/02/2022,06/10/2021,0,3960
Bahi,06/03/2022,30/10/2021,0,3488
Bahi,10/02/2022,07/10/2021,0,3960
Bahi,22/02/2022,18/10/2021,0,4045
Bahi,13/02/2022,10/10/2021,0,4158
Bahi,15/02/2022,11/10/2021,0,4158
Bahi,06/03/2022,03/11/2021,0,3036
Bahi,16/02/2022,12/10/2021,0,4158
Bahi,10/02/2022,07/10/2021,0,3960
Bahi,22/02/2022,18/10/2021,0,4044
Bahi,20/02/2022,15/10/2021,0,4046
Bahi,06/03/2022,31/10/2021,0,3406
Bahi,24/02/2022,20/10/2021,0,3947
Bahi,20/02/2022,15/10/2021,0,4055
Bahi,19/02/2022,14/10/2021,0,4219
Bahi,16/02/2022,12/10/2021,0,4158
Bahi,06/03/2022,02/11/2021,0,3163
Bahi,06/03/2022,01/11/2021,0,3297
Bahi,22/02/2022,18/10/2021,0,4032
Bahi,24/02/2022,20/10/2021,0,3958
Bahi,19/02/2022,14/10/2021,0,4217
Bahi,21/02/2022,16/10/2021,0,4088
Bahi,01/07/2022,09/02/2022,0,4243
Bahi,01/07/2022,16/02/2022,0,3762
Bahi,01/07/2022,28/02/2022,0,2324
Bahi,01/07/2022,17/02/2022,0,3265
Bahi,01/07/2022,03/02/2022,0,4889
Bahi,01/07/2022,10/02/2022,0,4356
Bahi,01/07/2022,04/02/2022,0,4762
Bahi,01/07/2022,17/02/2022,0,3567
Bahi,01/07/2022,31/01/2022,0,4700
Bahi,01/07/2022,25/02/2022,0,2479
Bahi,01/07/2022,22/02/2022,0,2873
Bahi,01/07/2022,06/02/2022,0,4494
Bahi,01/07/2022,13/02/2022,0,4059
Bahi,01/07/2022,17/02/2022,0,3390
Bahi,01/07/2022,10/02/2022,0,3997
Bahi,01/07/2022,14/02/2022,0,3577
Bahi,01/07/2022,06/02/2022,0,4554
Bahi,01/07/2022,31/01/2022,0,4552
Bahi,01/07/2022,11/02/2022,0,4066
Bahi,01/07/2022,18/02/2022,0,3259
Bahi,01/07/2022,25/02/2022,0,2691
Bahi,01/07/2022,08/02/2022,0,4034
Bahi,01/07/2022,05/02/2022,0,4670
Bahi,01/07/2022,18/02/2022,0,3103
Bahi,01/07/2022,13/02/2022,0,3856
Bahi,01/07/2022,20/02/2022,0,3324
Bahi,01/07/2022,14/02/2022,0,3960
Bahi,01/07/2022,01/03/2022,0,2179
Bahi,01/07/2022,20/02/2022,0,3355
Bahi,01/07/2022,14/02/2022,0,3924
Bahi,01/07/2022,17/02/2022,0,3471
Bahi,01/07/2022,20/02/2022,0,3079
Bahi,01/07/2022,11/02/2022,0,4257
Bahi,01/07/2022,09/02/2022,0,4257
Bahi,01/07/2022,15/02/2022,0,3630
Bahi,01/07/2022,25/02/2022,0,2466
Bahi,01/07/2022,10/02/2022,0,4223
Bahi,01/07/2022,26/02/2022,0,2434
Bahi,01/07/2022,11/02/2022,0,4257
Bahi,01/07/2022,17/02/2022,0,3499
Bahi,06/03/2023,30/10/2022,0,3284
Bahi,04/03/2023,30/10/2022,0,3146
Bahi,25/02/2023,25/10/2022,0,2959
Bahi,14/02/2023,11/10/2022,0,2961
Bahi,10/02/2023,08/10/2022,0,2974
Bahi,21/02/2023,17/10/2022,0,2905
