gid,cname,planting,harvest,wsgd,gwad
1,Bahi,2021-11-01,2022-03-06,0,3302
44,Ulanga,2023-02-16,2023-06-22,0,3731
45,Masasi,2022-02-01,2022-06-05,0,2561
45,Masasi,2022-01-28,2022-06-05,0,2736
45,Masasi,2022-01-24,2022-06-05,0,3038
45,Masasi,2022-01-08,2022-06-04,0,4289
45,Masasi,2022-01-16,2022-06-05,0,3952
45,Masasi,2022-01-23,2022-06-05,0,3134
45,Masasi,2022-02-01,2022-06-22,0.168,4096
45,Masasi,2022-02-14,2022-06-22,0.361,2813
45,Masasi,2022-01-26,2022-06-22,0.376,3894
45,Masasi,2022-02-07,2022-06-22,0,3564
45,Masasi,2022-01-22,2022-06-19,0.255,4070
45,Masasi,2022-02-04,2022-06-22,0.23,3825
45,Masasi,2022-01-26,2022-06-22,0.261,3933
45,Masasi,2023-01-23,2023-06-05,0,3599
45,Masasi,2023-01-26,2023-06-05,0,3295
45,Masasi,2023-01-11,2023-05-22,0,3239
45,Masasi,2023-01-08,2023-05-17,0,3016
45,Masasi,2023-01-12,2023-05-20,0,3086
45,Masasi,2023-01-08,2023-05-18,0,3100
45,Masasi,2023-01-08,2023-05-16,0,3001
45,Masasi,2023-02-19,2023-06-22,0.392,2902
45,Masasi,2023-01-26,2023-06-05,0,3332
45,Masasi,2023-02-10,2023-06-22,0.193,3770
45,Masasi,2023-02-08,2023-06-22,0.402,3699
45,Masasi,2023-02-03,2023-06-15,0.499,3423
49,Nanyumbu,2022-02-03,2022-06-05,0.647,2332
49,Nanyumbu,2022-01-21,2022-06-05,0.532,3273
49,Nanyumbu,2022-02-02,2022-06-05,0.681,2410
49,Nanyumbu,2022-01-16,2022-06-05,0.754,3855
49,Nanyumbu,2022-02-03,2022-06-05,0.641,2333
49,Nanyumbu,2022-01-18,2022-06-05,0.789,3484
49,Nanyumbu,2022-01-15,2022-06-05,0.579,4024
49,Nanyumbu,2022-01-24,2022-06-22,0.761,3595
49,Nanyumbu,2022-02-05,2022-06-22,0.768,3100
49,Nanyumbu,2022-01-28,2022-06-22,0.749,3639
49,Nanyumbu,2022-02-15,2022-06-22,0.766,2280
49,Nanyumbu,2022-01-29,2022-06-22,0.751,3617
49,Nanyumbu,2022-01-25,2022-06-22,0.765,3583
49,Nanyumbu,2022-01-23,2022-06-20,0.739,3731
49,Nanyumbu,2023-01-06,2023-05-16,0,3003
49,Nanyumbu,2023-01-12,2023-05-23,0,3212
49,Nanyumbu,2023-01-05,2023-05-13,0,2897
49,Nanyumbu,2023-01-10,2023-05-17,0,2992
49,Nanyumbu,2023-02-03,2023-06-05,0.665,3203
49,Nanyumbu,2023-01-29,2023-06-05,0.629,3312
49,Nanyumbu,2023-02-18,2023-06-22,0.635,2606
49,Nanyumbu,2023-02-16,2023-06-22,0.635,3236
