id,cname,planting,harvest,wsgd,gwad
14581,Mkinga,2021-11-01,2022-03-06,0,3295
14580,Mkinga,2021-10-28,2022-03-06,0,3601
14579,Mkinga,2021-10-08,2022-02-11,0,4059
14578,Mkinga,2021-10-19,2022-02-23,0,3986
14737,Mkinga,2023-02-20,2023-06-29,0.421,3520
14736,Mkinga,2023-02-10,2023-06-20,0,3399
14735,Mkinga,2023-02-25,2023-06-29,0.473,2917
496,Lake Eyasi,2021-10-26,2022-03-04,0,3880
495,Lake Eyasi,2021-10-18,2022-02-22,0,4032
494,Lake Eyasi,2021-10-25,2022-03-03,0,3949
493,Lake Eyasi,2021-10-16,2022-02-21,0,4078
492,Lake Eyasi,2021-10-28,2022-03-06,0,3589
491,Lake Eyasi,2021-11-03,2022-03-06,0,3018
490,Lake Eyasi,2021-10-31,2022-03-06,0,3389
489,Lake Eyasi,2021-10-30,2022-03-06,0,3461
488,Lake Eyasi,2021-10-15,2022-02-20,0,4033
487,Lake Eyasi,2021-10-26,2022-03-04,0,3869
486,Lake Eyasi,2021-10-13,2022-02-18,0,4250
485,Lake Eyasi,2021-10-12,2022-02-16,0,4140
484,Lake Eyasi,2021-10-30,2022-03-06,0,3468
483,Lake Eyasi,2021-11-01,2022-03-06,0,3292
482,Lake Eyasi,2021-10-23,2022-03-01,0,4032
481,Lake Eyasi,2021-10-11,2022-02-15,0,4158
882,Longido,2022-11-03,2023-03-06,0,3485
881,Longido,2022-10-15,2023-02-20,0,3208
880,Longido,2022-02-27,2022-07-01,0.424,2097
844,Longido,2022-01-31,2022-07-01,0.142,4622
843,Longido,2022-02-22,2022-07-01,0.114,2858
842,Longido,2022-01-31,2022-07-01,0.031,4569
1108,Meru,2023-02-21,2023-06-29,0.068,2848
1107,Meru,2023-02-03,2023-06-14,0.689,3119
1106,Meru,2023-02-02,2023-06-14,0.766,3120
1070,Meru,2022-10-06,2023-02-08,0,3000
1069,Meru,2022-10-12,2023-02-16,0,3207
1068,Meru,2022-10-13,2023-02-16,0,3107
1032,Meru,2022-02-28,2022-07-01,0.526,1563
1031,Meru,2022-02-27,2022-07-01,0.535,1848
1030,Meru,2022-02-08,2022-07-01,0.506,3650
994,Meru,2021-10-20,2022-02-24,0,3679
993,Meru,2021-10-10,2022-02-13,0,4067
992,Meru,2021-11-02,2022-03-06,0,3094
1223,Monduli,2022-10-31,2023-03-06,0,3353
1222,Monduli,2022-10-07,2023-02-10,0,2997
1221,Monduli,2022-10-12,2023-02-17,0,3136
1185,Monduli,2022-02-16,2022-07-01,0,3762
1184,Monduli,2022-02-24,2022-07-01,0,2831
1183,Monduli,2022-02-15,2022-07-01,0,3774
1147,Monduli,2021-10-19,2022-02-23,0,3969
1146,Monduli,2021-10-17,2022-02-20,0,3900
1145,Monduli,2021-10-11,2022-02-15,0,4158
1269,Monduli,2023-02-11,2023-06-24,0.375,3645
1268,Monduli,2023-02-11,2023-06-24,0.519,3488
1267,Monduli,2023-02-03,2023-06-14,0,3413
1231,Monduli,2022-11-03,2023-03-06,0,3185
1230,Monduli,2022-10-09,2023-02-12,0,3039
1229,Monduli,2022-10-17,2023-02-21,0,3057
1406,Ngorongoro,2023-02-11,2023-06-26,0.794,3232
1405,Ngorongoro,2023-02-26,2023-06-29,0.719,2363
1404,Ngorongoro,2023-02-02,2023-06-15,0.57,3496
1368,Ngorongoro,2022-10-27,2023-03-03,0,2986
1367,Ngorongoro,2022-11-03,2023-03-06,0,3341
1366,Ngorongoro,2022-10-17,2023-02-22,0,3118
1330,Ngorongoro,2022-02-25,2022-07-01,0.417,2069
1329,Ngorongoro,2022-02-22,2022-07-01,0.385,2386
1328,Ngorongoro,2022-02-17,2022-07-01,0.51,2823
1292,Ngorongoro,2021-10-23,2022-03-01,0,3925
1291,Ngorongoro,2021-10-11,2022-02-15,0,4158
1290,Ngorongoro,2021-10-18,2022-02-22,0,3990
1574,Temeke,2023-01-21,2023-06-02,0,3677
1573,Temeke,2023-02-02,2023-06-05,0.597,3318
1572,Temeke,2023-01-06,2023-05-14,0,3150
1536,Temeke,2022-10-27,2023-03-04,0,3243
1535,Temeke,2022-10-21,2023-02-25,0,2879
1534,Temeke,2022-10-07,2023-02-09,0,2912
1498,Temeke,2022-01-31,2022-06-05,0.543,2599
1497,Temeke,2022-01-19,2022-06-05,0.682,3417
1496,Temeke,2022-01-14,2022-06-05,0,4187
1460,Temeke,2021-10-10,2022-02-13,0,4158
1459,Temeke,2021-10-24,2022-03-02,0,4012
1458,Temeke,2021-10-10,2022-02-13,0,4158
1618,Bukombe,2021-10-15,2022-02-20,0,4023
1617,Bukombe,2021-10-11,2022-02-15,0,4158
1616,Bukombe,2021-11-02,2022-03-06,0,3167
1740,Bukombe,2023-02-20,2023-06-29,0.364,3671
1739,Bukombe,2023-02-03,2023-06-14,0.303,3529
1738,Bukombe,2023-02-23,2023-06-29,0.41,3012
1702,Bukombe,2022-10-21,2023-02-24,0,2965
1701,Bukombe,2022-10-11,2023-02-16,0,3144
1700,Bukombe,2022-10-29,2023-03-04,0,3357
1664,Bukombe,2022-02-11,2022-07-01,0,4168
1663,Bukombe,2022-02-21,2022-07-01,0,2995
1662,Bukombe,2022-02-25,2022-07-01,0,2384
1910,Chato,2023-02-28,2023-06-29,0.348,2748
1909,Chato,2023-03-01,2023-06-29,0.48,2653
1908,Chato,2023-02-10,2023-06-23,0,3491
1872,Chato,2022-10-21,2023-02-24,0,2957
1871,Chato,2022-10-17,2023-02-22,0,3007
1870,Chato,2022-10-14,2023-02-17,0,3218
1834,Chato,2022-02-12,2022-07-01,0.392,3902
1833,Chato,2022-01-31,2022-07-01,0.315,4543
1832,Chato,2022-02-04,2022-07-01,0.233,4798
1796,Chato,2021-10-18,2022-02-22,0,4019
1795,Chato,2021-10-15,2022-02-20,0,3993
1794,Chato,2021-10-06,2022-02-08,0,3960
2043,Geita,2023-02-27,2023-06-29,0.393,3028
2042,Geita,2023-02-22,2023-06-29,0.445,3314
2041,Geita,2023-02-03,2023-06-18,0.531,3550
2005,Geita,2022-10-16,2023-02-21,0,3130
2004,Geita,2022-10-14,2023-02-17,0,3127
2003,Geita,2022-10-24,2023-02-26,0,2939
1967,Geita,2022-02-27,2022-07-01,0,2467
1966,Geita,2022-02-03,2022-07-01,0,4950
1965,Geita,2022-02-07,2022-07-01,0,4455
1929,Geita,2021-10-27,2022-03-06,0,3652
1928,Geita,2021-11-04,2022-03-06,0,2897
1927,Geita,2021-10-27,2022-03-06,0,3678
2051,Geita,2023-02-24,2023-06-29,0.051,3172
2050,Geita,2023-02-21,2023-06-29,0.348,3696
2049,Geita,2023-02-25,2023-06-29,0,3231
2208,Mbogwe,2023-02-16,2023-06-29,0,3731
2207,Mbogwe,2023-02-26,2023-06-29,0.091,2937
2206,Mbogwe,2023-02-03,2023-06-16,0,3611
2170,Mbogwe,2022-10-12,2023-02-15,0,3209
2169,Mbogwe,2022-10-17,2023-02-21,0,3035
2168,Mbogwe,2022-10-30,2023-03-06,0,3279
2132,Mbogwe,2022-02-06,2022-07-01,0,4276
2131,Mbogwe,2022-02-25,2022-07-01,0,2746
2130,Mbogwe,2022-02-03,2022-07-01,0,4679
2094,Mbogwe,2021-11-03,2022-03-06,0,3036
2093,Mbogwe,2021-10-12,2022-02-16,0,4128
2092,Mbogwe,2021-10-13,2022-02-18,0,4239
2376,Nyang'wale,2023-02-26,2023-06-29,0,2999
2375,Nyang'wale,2023-02-21,2023-06-29,0.22,3266
2374,Nyang'wale,2023-02-15,2023-06-29,0,3959
2338,Nyang'wale,2022-10-21,2023-02-24,0,2897
2337,Nyang'wale,2022-10-31,2023-03-06,0,3357
2336,Nyang'wale,2022-11-01,2023-03-06,0,3471
2300,Nyang'wale,2022-02-21,2022-07-01,0,3223
2299,Nyang'wale,2022-02-22,2022-07-01,0.266,2900
2298,Nyang'wale,2022-02-06,2022-07-01,0,4554
2262,Nyang'wale,2021-10-18,2022-02-22,0,4014
2261,Nyang'wale,2021-10-30,2022-03-06,0,3467
2260,Nyang'wale,2021-10-19,2022-02-23,0,3960
2438,Biharamulo,2021-10-11,2022-02-15,0,4158
2437,Biharamulo,2021-10-06,2022-02-08,0,3960
2436,Biharamulo,2021-11-02,2022-03-06,0,3117
2560,Biharamulo,2023-02-23,2023-06-29,0.339,3047
2559,Biharamulo,2023-02-12,2023-06-25,0.528,3347
2558,Biharamulo,2023-02-01,2023-06-12,0.549,3531
2522,Biharamulo,2023-02-11,2023-06-23,0.387,3338
2521,Biharamulo,2023-02-07,2023-06-24,0.389,3327
2520,Biharamulo,2022-10-18,2023-02-21,0,3016
2484,Biharamulo,2022-10-20,2023-02-23,0,2943
2483,Biharamulo,2022-10-29,2023-03-05,0,3222
2482,Biharamulo,2022-11-02,2023-03-06,0,3505
2713,Bukoba Rural,2023-02-04,2023-06-13,0.749,3154
2712,Bukoba Rural,2023-03-01,2023-06-29,0.747,2080
2711,Bukoba Rural,2023-02-07,2023-06-24,0.772,2986
2710,Bukoba Rural,2023-02-16,2023-06-28,0.712,3074
2677,Bukoba Rural,2022-10-17,2023-02-21,0,2958
2676,Bukoba Rural,2022-10-25,2023-03-01,0,3105
2675,Bukoba Rural,2022-11-01,2023-03-06,0,3469
2674,Bukoba Rural,2022-10-18,2023-02-21,0,3100
2673,Bukoba Rural,2022-10-20,2023-02-23,0,2954
2672,Bukoba Rural,2022-10-23,2023-02-26,0,2976
2639,Bukoba Rural,2022-01-31,2022-07-01,0,4687
2638,Bukoba Rural,2022-02-10,2022-07-01,0,4228
2637,Bukoba Rural,2022-03-01,2022-07-01,0,2277
2636,Bukoba Rural,2022-02-14,2022-07-01,0,3733
2635,Bukoba Rural,2022-02-14,2022-07-01,0,3636
2634,Bukoba Rural,2022-02-08,2022-07-01,0,4187
2601,Bukoba Rural,2022-02-28,2022-07-01,0,2275
2600,Bukoba Rural,2021-10-22,2022-02-27,0,3840
2599,Bukoba Rural,2021-10-06,2022-02-08,0,3960
2598,Bukoba Rural,2021-10-13,2022-02-18,0,4187
2597,Bukoba Rural,2021-10-30,2022-03-06,0,3452
2596,Bukoba Rural,2021-10-20,2022-02-24,0,3885
2563,Bukoba Rural,2021-10-07,2022-02-10,0,3960
2562,Bukoba Rural,2021-10-06,2022-02-08,0,3960
2561,Bukoba Rural,2021-10-06,2022-02-08,0,3960
2863,Bukoba Urban,2023-02-14,2023-06-25,0.875,2890
2862,Bukoba Urban,2023-02-08,2023-06-19,0.861,2772
2861,Bukoba Urban,2023-02-22,2023-06-29,1,2135
2828,Bukoba Urban,2022-10-06,2023-02-08,0,1989
2827,Bukoba Urban,2022-10-11,2023-02-15,0,2550
2826,Bukoba Urban,2022-10-27,2023-03-04,0,3130
2825,Bukoba Urban,2022-10-19,2023-02-23,0,2794
2824,Bukoba Urban,2022-11-03,2023-03-06,0,3177
2823,Bukoba Urban,2022-11-03,2023-03-06,0,3281
2790,Bukoba Urban,2022-03-01,2022-07-01,0.8,1132
2789,Bukoba Urban,2022-02-12,2022-07-01,0.791,3042
2788,Bukoba Urban,2022-02-08,2022-07-01,0.796,3250
2787,Bukoba Urban,2022-02-23,2022-07-01,0.793,1830
2786,Bukoba Urban,2022-02-12,2022-07-01,0.791,3042
2785,Bukoba Urban,2022-02-22,2022-07-01,0.792,1936
2752,Bukoba Urban,2021-10-08,2022-02-11,0,3806
2751,Bukoba Urban,2021-10-19,2022-02-23,0,3747
2750,Bukoba Urban,2021-10-21,2022-02-26,0,3625
2749,Bukoba Urban,2021-10-21,2022-02-26,0,3617
2748,Bukoba Urban,2021-10-20,2022-02-24,0,3690
2747,Bukoba Urban,2021-10-18,2022-02-22,0,3780
2874,Bukoba Urban,2023-02-08,2023-06-22,0.845,2829
2873,Bukoba Urban,2023-02-26,2023-06-29,0.982,2055
2872,Bukoba Urban,2023-02-09,2023-06-20,0.857,2739
2871,Bukoba Urban,2023-02-06,2023-06-22,0.846,2891
2870,Bukoba Urban,2023-02-20,2023-06-29,0.822,2630
2869,Bukoba Urban,2023-02-05,2023-06-17,0.875,2930
3010,Karagwe,2023-03-01,2023-06-29,0.474,2227
3009,Karagwe,2023-02-04,2023-06-16,0.619,3331
3008,Karagwe,2023-02-15,2023-06-29,0.54,3266
2972,Karagwe,2022-10-18,2023-02-22,0,3010
2971,Karagwe,2022-10-10,2023-02-15,0,3231
2970,Karagwe,2022-10-09,2023-02-12,0,3061
2934,Karagwe,2022-02-09,2022-07-01,0.371,3996
2933,Karagwe,2022-02-01,2022-07-01,0.36,4381
2932,Karagwe,2022-02-02,2022-07-01,0.263,4506
2896,Karagwe,2021-10-15,2022-02-20,0,4000
2895,Karagwe,2021-11-04,2022-03-06,0,2900
2894,Karagwe,2021-10-14,2022-02-19,0,4123
3178,Kyerwa,2023-02-13,2023-06-26,0.732,2888
3177,Kyerwa,2023-02-13,2023-06-26,0.721,2850
3176,Kyerwa,2023-02-24,2023-06-29,0.687,2064
3140,Kyerwa,2022-11-01,2023-03-06,0,3427
3139,Kyerwa,2022-10-24,2023-02-27,0,2949
3138,Kyerwa,2022-10-23,2023-02-25,0,2858
3102,Kyerwa,2022-02-14,2022-07-01,0.691,2986
3101,Kyerwa,2022-02-15,2022-07-01,0.551,3095
3100,Kyerwa,2022-02-04,2022-07-01,0.534,4212
3064,Kyerwa,2021-11-01,2022-03-06,0,3296
3063,Kyerwa,2021-10-06,2022-02-08,0,3960
3062,Kyerwa,2021-11-04,2022-03-06,0,2893
3259,Lake Victoria,2022-02-07,2022-07-01,0.39,4084
3258,Lake Victoria,2022-02-06,2022-07-01,0.444,3917
3257,Lake Victoria,2022-02-25,2022-07-01,0.433,2335
3256,Lake Victoria,2022-02-01,2022-07-01,0.453,4254
3223,Lake Victoria,2021-10-11,2022-02-15,0,4158
3222,Lake Victoria,2021-10-20,2022-02-24,0,3781
3221,Lake Victoria,2021-10-07,2022-02-10,0,3960
3220,Lake Victoria,2021-10-22,2022-02-27,0,3742
3219,Lake Victoria,2021-10-14,2022-02-19,0,4091
3218,Lake Victoria,2021-10-14,2022-02-19,0,4097
3345,Lake Victoria,2023-02-26,2023-06-29,0.603,2100
3344,Lake Victoria,2023-02-10,2023-06-25,0.668,3157
3343,Lake Victoria,2023-02-07,2023-06-17,0.868,2984
3342,Lake Victoria,2023-02-25,2023-06-29,0.642,2258
3341,Lake Victoria,2023-02-08,2023-06-25,0.674,3154
3340,Lake Victoria,2023-02-28,2023-06-29,0.608,2097
3307,Lake Victoria,2022-10-24,2023-02-27,0,2935
3306,Lake Victoria,2022-10-23,2023-02-27,0,3092
3305,Lake Victoria,2022-10-21,2023-02-25,0,2907
3304,Lake Victoria,2022-10-08,2023-02-11,0,3026
3303,Lake Victoria,2022-11-02,2023-03-06,0,3368
3302,Lake Victoria,2022-10-25,2023-02-28,0,3009
3516,Missenyi,2023-02-11,2023-06-26,0.676,2980
3515,Missenyi,2023-02-08,2023-06-19,0.825,2590
3514,Missenyi,2023-02-19,2023-06-29,0.52,2864
3513,Missenyi,2023-02-20,2023-06-29,0.573,2980
3512,Missenyi,2023-02-28,2023-06-29,0.459,1859
3476,Missenyi,2022-10-20,2023-02-25,0,2963
3475,Missenyi,2022-11-04,2023-03-06,0,3143
3474,Missenyi,2022-10-09,2023-02-12,0,3157
3438,Missenyi,2022-02-09,2022-07-01,0.658,3394
3437,Missenyi,2022-02-02,2022-07-01,0.646,4173
3436,Missenyi,2022-02-23,2022-07-01,0.691,2033
3400,Missenyi,2021-10-08,2022-02-11,0,4059
3399,Missenyi,2021-11-03,2022-03-06,0,3040
3398,Missenyi,2021-10-20,2022-02-24,0,3922
3362,Missenyi,2021-10-13,2022-02-18,0,4205
3361,Missenyi,2021-10-14,2022-02-19,0,4194
3680,Muleba,2023-03-04,2023-06-29,0.791,1550
3644,Muleba,2023-03-01,2023-06-29,0.806,1660
3643,Muleba,2023-02-28,2023-06-29,0.792,1962
3642,Muleba,2023-03-05,2023-06-29,0.809,1208
3606,Muleba,2022-10-29,2023-03-06,0,3363
3605,Muleba,2022-10-29,2023-03-06,0,3367
3604,Muleba,2022-10-06,2023-02-08,0,2913
3568,Muleba,2022-03-12,2022-07-23,0.723,682
3567,Muleba,2022-02-22,2022-07-23,0.711,3336
3566,Muleba,2022-03-02,2022-07-23,0.71,1960
3530,Muleba,2021-10-06,2022-02-08,0,3960
3529,Muleba,2021-10-10,2022-02-13,0,4158
3528,Muleba,2021-10-10,2022-02-13,0,4158
3813,Ngara,2023-02-22,2023-06-29,0.185,3227
3812,Ngara,2023-02-27,2023-06-29,0.347,2502
3811,Ngara,2023-02-27,2023-06-29,0.311,2544
3775,Ngara,2022-10-12,2023-02-16,0,3167
3774,Ngara,2022-10-25,2023-02-27,0,2996
3773,Ngara,2022-10-11,2023-02-15,0,3170
3737,Ngara,2022-02-27,2022-07-01,0.621,1798
3736,Ngara,2022-02-22,2022-07-01,0.545,2513
3735,Ngara,2022-02-26,2022-07-01,0.596,2013
3699,Ngara,2021-11-04,2022-03-06,0,2900
3698,Ngara,2021-10-21,2022-02-26,0,3823
3697,Ngara,2021-10-29,2022-03-06,0,3462
4020,Kakonko,2023-02-27,2023-06-29,0.517,2749
4019,Kakonko,2023-03-03,2023-06-29,0.726,2383
4018,Kakonko,2023-03-06,2023-06-29,0.747,1855
3982,Kakonko,2022-09-29,2023-02-03,0,3508
3981,Kakonko,2022-09-27,2023-02-01,0,3732
3980,Kakonko,2022-10-07,2023-02-09,0,2995
3944,Kakonko,2022-03-12,2022-07-23,0.519,1850
3943,Kakonko,2022-03-22,2022-07-23,0.565,782
3942,Kakonko,2022-03-07,2022-07-23,0.331,3117
3906,Kakonko,2021-10-20,2022-02-24,0,3952
3905,Kakonko,2021-09-26,2022-01-27,0,3762
3904,Kakonko,2021-10-13,2022-02-18,0,4210
3868,Kakonko,2021-10-18,2022-02-22,0,4036
3867,Kakonko,2021-10-05,2022-02-07,0,3960
3866,Kakonko,2021-09-22,2022-01-21,0,3564
4079,Hai,2021-10-11,2022-02-15,0,4091
4078,Hai,2021-11-01,2022-03-06,0,3255
4320,Moshi Rural,2022-10-17,2023-02-20,0,3032
4319,Moshi Rural,2022-10-28,2023-03-04,0,3131
4318,Moshi Rural,2022-10-23,2023-02-25,0,2805
4282,Moshi Rural,2022-10-06,2023-02-09,0,3000
4281,Moshi Rural,2022-10-24,2023-02-28,0,2930
4280,Moshi Rural,2022-02-19,2022-07-01,0,3011
4244,Moshi Rural,2022-02-18,2022-07-01,0,2749
4243,Moshi Rural,2022-02-07,2022-07-01,0.028,3677
4242,Moshi Rural,2022-02-15,2022-07-01,0,2982
4206,Moshi Rural,2021-10-23,2022-03-01,0,4021
4205,Moshi Rural,2021-10-26,2022-03-04,0,3900
4204,Moshi Rural,2021-10-16,2022-02-21,0,3909
4467,Moshi Urban,2022-11-04,2023-03-06,0,3276
4466,Moshi Urban,2022-10-20,2023-02-25,0,2984
4465,Moshi Urban,2022-10-07,2023-02-10,0,3065
4429,Moshi Urban,2022-02-07,2022-07-01,0.788,3436
4428,Moshi Urban,2022-02-04,2022-07-01,0.775,3781
4427,Moshi Urban,2022-02-04,2022-07-01,0.784,3815
4391,Moshi Urban,2021-10-21,2022-02-26,0,3818
4390,Moshi Urban,2021-10-20,2022-02-24,0,3847
4389,Moshi Urban,2021-11-01,2022-03-06,0,3236
4513,Moshi Urban,2023-02-19,2023-06-29,0.764,2837
4512,Moshi Urban,2023-02-08,2023-06-19,0.796,2736
4511,Moshi Urban,2023-02-03,2023-06-18,0.806,3021
4656,Mwanga,2023-02-17,2023-06-29,0.233,3425
4655,Mwanga,2023-02-27,2023-06-29,0.328,2654
4654,Mwanga,2023-02-28,2023-06-29,0.331,2380
4618,Mwanga,2022-10-11,2023-02-14,0,3081
4617,Mwanga,2022-10-13,2023-02-17,0,3087
4616,Mwanga,2022-10-13,2023-02-18,0,3206
4580,Mwanga,2022-02-03,2022-07-01,0.656,4148
4579,Mwanga,2022-02-04,2022-07-01,0.591,4119
4578,Mwanga,2022-02-09,2022-07-01,0.589,3595
4542,Mwanga,2021-11-02,2022-03-06,0,3165
4541,Mwanga,2021-10-20,2022-02-24,0,3866
4540,Mwanga,2021-10-20,2022-02-24,0,3789
4854,Hanang,2021-10-26,2022-03-04,0,3895
4853,Hanang,2021-10-23,2022-03-01,0,4050
4852,Hanang,2021-10-17,2022-02-20,0,3980
4976,Hanang,2023-02-27,2023-06-29,0.48,2713
4975,Hanang,2023-02-17,2023-06-29,0.398,3328
4974,Hanang,2023-02-04,2023-06-17,0,3613
4938,Hanang,2022-10-24,2023-02-26,0,2923
4937,Hanang,2022-11-02,2023-03-06,0,3377
4936,Hanang,2022-10-12,2023-02-17,0,3216
5152,Kiteto,2023-02-19,2023-06-29,0.412,3513
5151,Kiteto,2023-02-13,2023-06-29,0,3933
5150,Kiteto,2023-02-06,2023-06-16,0.304,3354
5114,Kiteto,2022-10-18,2023-02-21,0,3080
5113,Kiteto,2022-10-11,2023-02-15,0,3098
5112,Kiteto,2022-10-27,2023-03-03,0,3166
5076,Kiteto,2022-02-02,2022-07-01,0.239,4659
5075,Kiteto,2022-02-03,2022-07-01,0.02,4930
5074,Kiteto,2022-02-26,2022-07-01,0.382,2571
5038,Kiteto,2021-10-27,2022-03-06,0,3706
5037,Kiteto,2021-10-20,2022-02-24,0,3913
5036,Kiteto,2021-10-14,2022-02-19,0,4135
5433,Same,2022-11-04,2023-03-06,0,3238
5432,Same,2022-11-01,2023-03-06,0,3517
5431,Same,2022-10-11,2023-02-16,0,3148
5395,Same,2022-02-03,2022-07-01,0.245,4780
5394,Same,2022-02-23,2022-07-01,0.407,2660
5393,Same,2022-02-22,2022-07-01,0.437,2819
5357,Same,2021-10-16,2022-02-21,0,4016
5356,Same,2021-10-06,2022-02-08,0,3960
5355,Same,2021-10-11,2022-02-15,0,4158
5639,Siha,2023-02-21,2023-06-29,0.154,3211
5638,Siha,2023-02-27,2023-06-29,0.374,2061
5637,Siha,2023-01-31,2023-06-10,0.356,3410
5601,Siha,2023-02-17,2023-06-29,0.334,3131
5600,Siha,2022-10-28,2023-03-03,0,3259
5599,Siha,2022-10-31,2023-03-06,0,3333
5563,Siha,2022-11-02,2023-03-06,0,3368
5562,Siha,2022-10-21,2023-02-24,0,2971
5561,Siha,2022-10-27,2023-03-04,0,3235
5525,Siha,2022-02-12,2022-07-01,0,3383
5524,Siha,2022-02-03,2022-07-01,0,4423
5523,Siha,2022-02-12,2022-07-01,0,3358
5487,Siha,2021-10-20,2022-02-24,0,3726
5486,Siha,2021-10-08,2022-02-11,0,4059
5485,Siha,2021-10-06,2022-02-08,0,3960
5695,Babati,2022-02-25,2022-07-01,0,2753
5694,Babati,2022-02-27,2022-07-01,0.187,2468
5693,Babati,2022-02-03,2022-07-01,0,4950
5657,Babati,2021-10-06,2022-02-08,0,3960
5656,Babati,2021-10-09,2022-02-12,0,4059
5655,Babati,2021-10-13,2022-02-18,0,4209
5779,Babati,2023-02-14,2023-06-28,0.15,3372
5778,Babati,2023-02-19,2023-06-29,0,3399
5777,Babati,2023-02-14,2023-06-27,0,3483
5741,Babati,2022-11-01,2023-03-06,0,3394
5740,Babati,2022-10-17,2023-02-20,0,3145
5739,Babati,2022-10-31,2023-03-06,0,3333
5937,Gairo,2023-01-23,2023-06-01,0,3545
5936,Gairo,2023-01-14,2023-05-25,0,3606
5935,Gairo,2023-02-03,2023-06-05,0.377,2817
5899,Gairo,2022-10-26,2023-03-03,0,3064
5898,Gairo,2022-10-21,2023-02-24,0,2902
5897,Gairo,2022-10-23,2023-02-26,0,2837
5861,Gairo,2022-01-25,2022-06-05,0.276,2991
5860,Gairo,2022-01-25,2022-06-05,0.133,2990
5859,Gairo,2022-01-29,2022-06-05,0.106,2701
5823,Gairo,2021-10-07,2022-02-10,0,3960
5822,Gairo,2021-11-01,2022-03-06,0,3305
5821,Gairo,2021-10-16,2022-02-21,0,3992
6105,Kilosa,2023-01-08,2023-05-18,0,3315
6104,Kilosa,2023-01-08,2023-05-18,0,3373
6103,Kilosa,2023-01-27,2023-06-03,0,3406
6067,Kilosa,2022-10-26,2023-03-02,0,3073
6066,Kilosa,2022-10-12,2023-02-17,0,3181
6065,Kilosa,2022-11-04,2023-03-06,0,3143
6029,Kilosa,2022-02-03,2022-06-05,0.723,2106
6028,Kilosa,2022-01-30,2022-06-05,0.768,2332
6027,Kilosa,2022-01-12,2022-06-05,0.855,3939
5991,Kilosa,2021-10-29,2022-03-06,0,3522
5990,Kilosa,2021-10-24,2022-03-02,0,3968
5989,Kilosa,2021-10-08,2022-02-11,0,4059
6129,Morogoro Rural,2022-01-05,2022-05-29,0,4257
6248,Morogoro Rural,2023-02-03,2023-06-14,0,3514
6210,Morogoro Rural,2023-01-11,2023-05-20,0,3258
6172,Morogoro Rural,2022-02-16,2022-06-22,0.257,2871
6137,Morogoro Rural,2022-01-27,2022-06-05,0.031,2789
6136,Morogoro Rural,2022-01-09,2022-06-05,0,4245
6466,Mbulu,2021-11-02,2022-03-06,0,3137
6465,Mbulu,2021-10-21,2022-02-26,0,3836
6464,Mbulu,2021-10-08,2022-02-11,0,4059
6588,Mbulu,2023-02-16,2023-06-29,0.401,3581
6587,Mbulu,2023-02-18,2023-06-29,0.416,3722
6586,Mbulu,2023-02-10,2023-06-25,0.509,3582
6550,Mbulu,2022-10-09,2023-02-12,0,3052
6549,Mbulu,2022-10-10,2023-02-14,0,3144
6548,Mbulu,2022-10-15,2023-02-18,0,3112
6728,Simanjiro,2023-02-09,2023-06-21,0.659,2970
6727,Simanjiro,2023-02-14,2023-06-27,0.624,3159
6690,Simanjiro,2022-10-11,2023-02-14,0,3074
6689,Simanjiro,2022-10-22,2023-02-25,0,2899
6652,Simanjiro,2022-02-16,2022-07-01,0.379,3519
6651,Simanjiro,2022-01-31,2022-07-01,0.137,4653
6614,Simanjiro,2021-10-06,2022-02-08,0,3960
6613,Simanjiro,2021-10-26,2022-03-04,0,3868
6896,Bunda,2023-02-13,2023-06-29,0,3907
6895,Bunda,2023-01-31,2023-06-10,0,3364
6894,Bunda,2023-02-27,2023-06-29,0.321,2822
6858,Bunda,2022-11-04,2023-03-06,0,3116
6857,Bunda,2022-10-28,2023-03-04,0,3132
6856,Bunda,2022-10-08,2023-02-12,0,3191
6820,Bunda,2022-02-21,2022-07-01,0,3221
6819,Bunda,2022-03-01,2022-07-01,0,2275
6818,Bunda,2022-02-17,2022-07-01,0,3517
6782,Bunda,2021-10-22,2022-02-27,0,3912
6781,Bunda,2021-10-31,2022-03-06,0,3355
6780,Bunda,2021-10-29,2022-03-06,0,3531
6937,Butiama,2021-10-26,2022-03-04,0,3883
