id,cname,planting,harvest,wsgd,gwad
21665,Nyasa,2023-02-18,2023-06-22,0.166,3063
21666,Nyasa,2023-01-22,2023-06-02,0,3297
21667,Nyasa,2023-02-16,2023-06-22,0.311,3194
23176,Uvinza,2023-02-04,2023-06-16,0,3635
23177,Uvinza,2023-02-11,2023-06-22,0,3664
23178,Uvinza,2023-02-12,2023-06-24,0,3648
23179,Uvinza,2023-02-10,2023-06-20,0,3580
23180,Uvinza,2023-02-02,2023-06-09,0,3288
23181,Uvinza,2023-02-09,2023-06-23,0,3796
23182,Uvinza,2023-02-03,2023-06-10,0,3189
23183,Uvinza,2023-02-08,2023-06-16,0,3528
23184,Uvinza,2023-02-15,2023-06-25,0,3485
23185,Uvinza,2023-02-25,2023-06-29,0,3171
23186,Uvinza,2023-02-17,2023-06-29,0,3701
23187,Uvinza,2023-02-12,2023-06-23,0,3663
23188,Uvinza,2023-03-01,2023-06-29,0,2900
23189,Uvinza,2023-02-01,2023-06-07,0,3334
23190,Uvinza,2023-03-01,2023-06-29,0,2926
23191,Uvinza,2023-02-02,2023-06-15,0,3638
23192,Uvinza,2023-02-19,2023-06-27,0,3418
23193,Uvinza,2023-02-27,2023-06-29,0,3204
23194,Uvinza,2023-02-11,2023-06-19,0,3651
23195,Uvinza,2023-02-14,2023-06-26,0,3514
23196,Uvinza,2023-02-18,2023-06-29,0,3708
23197,Uvinza,2023-02-17,2023-06-29,0,3614
23198,Uvinza,2023-02-25,2023-06-29,0,3229
23199,Uvinza,2023-02-19,2023-06-29,0,3533
23200,Uvinza,2023-02-10,2023-06-20,0,3619
14547,Tunduma,2022-02-09,2022-06-22,0,3366
14548,Tunduma,2022-01-24,2022-06-22,0,4082
14549,Tunduma,2022-02-18,2022-06-22,0,2673
14550,Tunduma,2022-01-28,2022-06-22,0,4285
14551,Tunduma,2022-02-16,2022-06-22,0,2871
14552,Tunduma,2022-02-13,2022-06-22,0,3168
14553,Tunduma,2022-02-09,2022-06-22,0,3366
14554,Tunduma,2022-02-07,2022-06-22,0,3564
14555,Tunduma,2022-01-23,2022-06-20,0,4093
14556,Tunduma,2022-02-06,2022-06-22,0,3663
14557,Tunduma,2022-01-23,2022-06-20,0,4093
14558,Tunduma,2022-02-19,2022-06-22,0,2574
14559,Tunduma,2022-01-26,2022-06-22,0,4208
14560,Tunduma,2022-01-22,2022-06-19,0,4084
14561,Tunduma,2023-01-17,2023-05-28,0,3148
14562,Tunduma,2023-01-17,2023-05-21,0,2777
14563,Tunduma,2023-02-01,2023-06-05,0,3347
14564,Tunduma,2023-02-03,2023-06-05,0,3223
14565,Tunduma,2023-01-12,2023-05-20,0,3068
14566,Tunduma,2023-01-17,2023-05-26,0,3072
14567,Tunduma,2023-01-26,2023-06-03,0,3262
14568,Tunduma,2023-01-27,2023-06-03,0,3142
14569,Tunduma,2023-01-13,2023-05-17,0,3018
14570,Tunduma,2023-01-26,2023-06-01,0,3103
14571,Tunduma,2023-01-07,2023-05-17,0,3329
14572,Tunduma,2023-01-15,2023-05-19,0,2803
14573,Tunduma,2023-01-10,2023-05-16,0,3122
14574,Tunduma,2023-01-20,2023-05-25,0,3014
14575,Tunduma,2023-02-02,2023-06-05,0,3093
14576,Tunduma,2023-01-16,2023-05-25,0,2990
14577,Tunduma,2023-01-15,2023-05-22,0,3167
14578,Tunduma,2023-01-21,2023-05-27,0,3082
14579,Tunduma,2023-01-09,2023-05-15,0,3030
14580,Tunduma,2023-01-30,2023-06-05,0,3326
14581,Tunduma,2023-02-02,2023-06-05,0,3118
14582,Tunduma,2023-01-19,2023-05-23,0,2791
14583,Tunduma,2023-01-12,2023-05-18,0,2984
14584,Tunduma,2023-01-08,2023-05-15,0,3020
14585,Tunduma,2023-02-02,2023-06-05,0,3093
14586,Tunduma,2023-01-24,2023-06-04,0,3323
14587,Tunduma,2023-01-11,2023-05-18,0,3254
14588,Tunduma,2023-01-17,2023-05-23,0,2947
14589,Tunduma,2023-01-21,2023-05-27,0,3070
14590,Tunduma,2023-01-15,2023-05-21,0,3019
14591,Tunduma,2023-01-27,2023-06-05,0,3401
14592,Tunduma,2023-01-18,2023-05-22,0,2823
14593,Tunduma,2023-01-24,2023-05-30,0,3196
14594,Tunduma,2023-01-20,2023-05-25,0,3014
14595,Tunduma,2023-01-25,2023-06-01,0,3111
14596,Tunduma,2023-01-28,2023-06-05,0,3449
14597,Tunduma,2023-01-30,2023-06-05,0,3339
14598,Tunduma,2023-01-22,2023-05-28,0,3123
14599,Tunduma,2023-01-20,2023-05-26,0,2978
14600,Tunduma,2023-01-12,2023-05-18,0,3020
14601,Tunduma,2023-02-19,2023-06-22,0.296,2884
14602,Tunduma,2023-02-01,2023-06-07,0,3157
14603,Tunduma,2023-02-09,2023-06-18,0,3529
14604,Tunduma,2023-01-24,2023-05-30,0,3205
14605,Tunduma,2023-02-07,2023-06-15,0.173,3381
14606,Tunduma,2023-02-08,2023-06-20,0.342,3730
14607,Tunduma,2023-01-22,2023-05-29,0,3124
14608,Tunduma,2023-02-05,2023-06-15,0,3444
14609,Tunduma,2023-02-06,2023-06-13,0,3405
14610,Tunduma,2023-02-20,2023-06-22,0.393,2994
14611,Tunduma,2023-02-01,2023-06-13,0,3496
14612,Tunduma,2023-02-07,2023-06-14,0,3332
14613,Tunduma,2023-01-29,2023-06-03,0,3159
14614,Tunduma,2023-02-13,2023-06-22,0,3585
14615,Tunduma,2023-02-14,2023-06-22,0,3519
14616,Tunduma,2023-02-02,2023-06-13,0,3444
14617,Tunduma,2023-02-03,2023-06-12,0,3462
14618,Tunduma,2023-01-31,2023-06-08,0,3297
14619,Tunduma,2023-02-13,2023-06-22,0,3661
14620,Tunduma,2023-02-04,2023-06-11,0,3383
14621,Tunduma,2023-02-17,2023-06-22,0.438,3038
14622,Tunduma,2023-01-26,2023-05-31,0,3008
14623,Tunduma,2023-01-25,2023-05-31,0,3125
14624,Tunduma,2023-01-26,2023-06-01,0,3183
14625,Tunduma,2023-02-01,2023-06-09,0,3167
14626,Tunduma,2023-01-28,2023-06-07,0,3449
14627,Tunduma,2023-01-28,2023-06-05,0,3320
14628,Tunduma,2023-02-09,2023-06-20,0,3632
14629,Tunduma,2023-01-22,2023-05-28,0,3208
14630,Tunduma,2023-02-05,2023-06-12,0,3437
14631,Tunduma,2023-01-29,2023-06-10,0,3504
14632,Tunduma,2023-02-12,2023-06-20,0,3525
14633,Tunduma,2023-02-10,2023-06-19,0,3530
