gid,cname,ensemble,harvest,planting,wsgd
18,Buhigwe,10,2022-01-21,2021-09-22,0
18,Buhigwe,27,2022-01-21,2021-09-22,0
18,Buhigwe,19,2022-01-21,2021-09-22,0
18,Buhigwe,26,2022-01-22,2021-09-23,0
24,Lake Tanganyika,36,2022-01-22,2021-09-23,0
24,Lake Tanganyika,23,2022-01-22,2021-09-23,0
18,Buhigwe,36,2022-01-22,2021-09-23,0
24,Lake Tanganyika,21,2022-01-22,2021-09-23,0
24,Lake Tanganyika,9,2022-01-22,2021-09-23,0
24,Lake Tanganyika,32,2022-01-22,2021-09-23,0
18,Buhigwe,13,2022-01-22,2021-09-23,0
18,Buhigwe,20,2022-01-24,2021-09-24,0
18,Buhigwe,26,2022-01-24,2021-09-24,0
24,Lake Tanganyika,6,2022-01-26,2021-09-25,0
18,Buhigwe,17,2022-01-26,2021-09-25,0
24,Lake Tanganyika,8,2022-01-26,2021-09-25,0
18,Buhigwe,17,2022-01-26,2021-09-25,0
18,Buhigwe,8,2022-01-26,2021-09-25,0
24,Lake Tanganyika,39,2022-01-26,2021-09-25,0
24,Lake Tanganyika,33,2022-01-26,2021-09-25,0
18,Buhigwe,31,2022-01-26,2021-09-25,0
24,Lake Tanganyika,16,2022-01-26,2021-09-25,0
24,Lake Tanganyika,27,2022-01-27,2021-09-26,0
18,Buhigwe,28,2022-01-27,2021-09-26,0
24,Lake Tanganyika,26,2022-01-27,2021-09-26,0
18,Buhigwe,15,2022-01-28,2021-09-27,0
18,Buhigwe,15,2022-01-28,2021-09-27,0
18,Buhigwe,24,2022-01-28,2021-09-27,0
18,Buhigwe,4,2022-01-28,2021-09-27,0
24,Lake Tanganyika,5,2022-01-29,2021-09-28,0
24,Lake Tanganyika,1,2022-01-29,2021-09-28,0
24,Lake Tanganyika,10,2022-01-29,2021-09-28,0
18,Buhigwe,40,2022-01-29,2021-09-28,0
24,Lake Tanganyika,14,2022-01-29,2021-09-28,0
18,Buhigwe,38,2022-01-29,2021-09-28,0
18,Buhigwe,23,2022-01-30,2021-09-29,0
24,Lake Tanganyika,24,2022-01-30,2021-09-29,0
24,Lake Tanganyika,11,2022-01-30,2021-09-29,0
24,Lake Tanganyika,36,2022-01-30,2021-09-29,0
24,Lake Tanganyika,40,2022-01-31,2021-09-30,0
24,Lake Tanganyika,11,2022-01-31,2021-09-30,0
24,Lake Tanganyika,34,2022-01-31,2021-09-30,0
18,Buhigwe,39,2022-01-31,2021-09-30,0
24,Lake Tanganyika,31,2022-01-31,2021-09-30,0
18,Buhigwe,37,2022-01-31,2021-09-30,0
24,Lake Tanganyika,2,2022-01-31,2021-09-30,0
18,Buhigwe,6,2022-02-02,2021-10-01,0
18,Buhigwe,1,2022-02-02,2021-10-01,0
18,Buhigwe,8,2022-02-02,2021-10-01,0
18,Buhigwe,12,2022-02-02,2021-10-01,0
24,Lake Tanganyika,28,2022-02-02,2021-10-01,0
18,Buhigwe,25,2022-02-02,2021-10-01,0
18,Buhigwe,32,2022-02-03,2021-10-02,0
24,Lake Tanganyika,40,2022-02-03,2021-10-02,0
18,Buhigwe,22,2022-02-04,2021-10-03,0
24,Lake Tanganyika,39,2022-02-04,2021-10-03,0
18,Buhigwe,14,2022-02-04,2021-10-03,0
24,Lake Tanganyika,29,2022-02-04,2021-10-03,0
24,Lake Tanganyika,12,2022-02-05,2021-10-04,0
18,Buhigwe,20,2022-02-05,2021-10-04,0
18,Buhigwe,21,2022-02-05,2021-10-04,0
24,Lake Tanganyika,18,2022-02-05,2021-10-04,0
